name,type,storePhoto,link,borough
The Ivy,Fine Dining,/placeholder.svg?height=300&width=400,https://theivywestst.com,Westminster
Dishoom,Indian,/placeholder.svg?height=300&width=400,https://dishoom.com,Covent Garden
Padella,Italian,/placeholder.svg?height=300&width=400,https://padella.co,Borough
Flat Iron,Steakhouse,/placeholder.svg?height=300&width=400,https://flatironsteak.co.uk,Soho
Bao,Taiwanese,/placeholder.svg?height=300&width=400,https://baolondon.com,Soho
Barrafina,Spanish,/placeholder.svg?height=300&width=400,https://barrafina.co.uk,Covent Garden
Hoppers,Sri Lankan,/placeholder.svg?height=300&width=400,https://hopperslondon.com,Soho
Koya,Japanese,/placeholder.svg?height=300&width=400,https://koya.co.uk,Soho
Smoking Goat,Thai,/placeholder.svg?height=300&width=400,https://smokinggoatbar.com,Shoreditch
Brat,European,/placeholder.svg?height=300&width=400,https://bratrestaurant.com,Shoreditch

